Running with LR=3e-05 and WD=3.9999999999999996e-05 for SEED=0
running multi task with positive
Epoch: [0][0/78]	Time 11.834 (11.834)	Data 10.556 (10.556)	Loss 8.7118 (8.7118)	
Epoch: [0][10/78]	Time 7.270 (4.895)	Data 6.577 (4.154)	Loss 8.5520 (8.6682)	
Epoch: [0][20/78]	Time 7.424 (4.618)	Data 6.724 (3.898)	Loss 8.2774 (8.5526)	
Epoch: [0][30/78]	Time 8.589 (4.555)	Data 7.866 (3.842)	Loss 8.1681 (8.4569)	
Epoch: [0][40/78]	Time 7.118 (4.439)	Data 6.406 (3.729)	Loss 7.9422 (8.3722)	
Epoch: [0][50/78]	Time 7.941 (4.406)	Data 7.234 (3.697)	Loss 7.8262 (8.2963)	
Epoch: [0][60/78]	Time 5.516 (4.352)	Data 4.807 (3.647)	Loss 7.8012 (8.2259)	
Epoch: [0][70/78]	Time 0.958 (4.286)	Data 0.303 (3.584)	Loss 7.7499 (8.1473)	
Epoch: [1][0/78]	Time 10.572 (10.572)	Data 9.909 (9.909)	Loss 7.5730 (7.5730)	
Epoch: [1][10/78]	Time 7.488 (4.816)	Data 6.781 (4.121)	Loss 7.5029 (7.5477)	
Epoch: [1][20/78]	Time 7.283 (4.582)	Data 6.577 (3.885)	Loss 7.4121 (7.5161)	
Epoch: [1][30/78]	Time 3.087 (4.419)	Data 2.376 (3.720)	Loss 7.2951 (7.4691)	
Epoch: [1][40/78]	Time 1.652 (4.381)	Data 0.967 (3.680)	Loss 7.3760 (7.4302)	
Epoch: [1][50/78]	Time 2.039 (4.366)	Data 1.358 (3.665)	Loss 7.3701 (7.3971)	
Epoch: [1][60/78]	Time 1.587 (4.352)	Data 0.898 (3.653)	Loss 7.2565 (7.3625)	
Epoch: [1][70/78]	Time 2.085 (4.341)	Data 1.391 (3.640)	Loss 7.1057 (7.3237)	
Epoch: [2][0/78]	Time 9.657 (9.657)	Data 8.964 (8.964)	Loss 7.1869 (7.1869)	
Epoch: [2][10/78]	Time 8.076 (4.987)	Data 7.400 (4.295)	Loss 6.9832 (6.9854)	
Epoch: [2][20/78]	Time 7.846 (4.690)	Data 7.175 (4.008)	Loss 7.1527 (6.9942)	
Epoch: [2][30/78]	Time 7.329 (4.513)	Data 6.660 (3.837)	Loss 7.0493 (6.9875)	
Epoch: [2][40/78]	Time 5.762 (4.400)	Data 5.094 (3.726)	Loss 6.8077 (6.9579)	
Epoch: [2][50/78]	Time 4.990 (4.376)	Data 4.322 (3.702)	Loss 6.7577 (6.9279)	
Epoch: [2][60/78]	Time 3.340 (4.345)	Data 2.656 (3.672)	Loss 6.7086 (6.9048)	
Epoch: [2][70/78]	Time 4.875 (4.372)	Data 4.200 (3.699)	Loss 6.8443 (6.8874)	
